"speaker","speaker_gender","chapter","file","audio_length_stutter","audio_length_speech","audio_length_difference","transcription_length","transcription_similarity","stutter_count","interjection_count","repetition_sound_count","repetition_word_count","repetition_phrase_count","prolongation_count","file_path_stutter","file_path_speech"
78,"M",369,"78-369-0031",16.885895691609978,14.4,2.485895691609977,33,0.0,3,0,1,1,1,0,"LibriStutter/LibriStutter Audio/78/369/78-369-0031.flac","LibriSpeech/78/369/78-369-0031.flac"
7067,"M",76047,"7067-76047-0044",16.97922902494331,14.34,2.639229024943312,36,0.8,3,0,0,1,1,1,"LibriStutter/LibriStutter Audio/7067/76047/7067-76047-0044.flac","LibriSpeech/7067/76047/7067-76047-0044.flac"
6925,"M",80680,"6925-80680-0054",15.299546485260771,14.25501133786848,1.04453514739229,50,0.8571428571428571,1,0,1,0,0,0,"LibriStutter/LibriStutter Audio/6925/80680/6925-80680-0054.flac","LibriSpeech/6925/80680/6925-80680-0054.flac"
1502,"F",122615,"1502-122615-0010",17.60938775510204,15.8,1.8093877551020403,42,0.7073170731707317,3,0,2,0,0,1,"LibriStutter/LibriStutter Audio/1502/122615/1502-122615-0010.flac","LibriSpeech/1502/122615/1502-122615-0010.flac"
6437,"M",66173,"6437-66173-0004",14.960907029478458,13.030022675736962,1.930884353741496,31,0.6666666666666666,3,0,2,0,0,1,"LibriStutter/LibriStutter Audio/6437/66173/6437-66173-0004.flac","LibriSpeech/6437/66173/6437-66173-0004.flac"
4830,"M",25904,"4830-25904-0002",15.205034013605442,14.325034013605444,0.879999999999999,35,0.8823529411764706,1,0,0,0,0,1,"LibriStutter/LibriStutter Audio/4830/25904/4830-25904-0002.flac","LibriSpeech/4830/25904/4830-25904-0002.flac"
3699,"M",19402,"3699-19402-0030",16.717233560090705,12.95501133786848,3.762222222222224,27,0.7307692307692307,3,0,0,1,1,1,"LibriStutter/LibriStutter Audio/3699/19402/3699-19402-0030.flac","LibriSpeech/3699/19402/3699-19402-0030.flac"
4830,"M",25898,"4830-25898-0008",19.24448979591837,15.425034013605442,3.8194557823129234,32,0.4666666666666667,3,0,2,0,1,0,"LibriStutter/LibriStutter Audio/4830/25898/4830-25898-0008.flac","LibriSpeech/4830/25898/4830-25898-0008.flac"
8095,"M",274346,"8095-274346-0011",15.22077097505669,14.35002267573696,0.8707482993197289,37,0.0,3,0,0,1,0,2,"LibriStutter/LibriStutter Audio/8095/274346/8095-274346-0011.flac","LibriSpeech/8095/274346/8095-274346-0011.flac"
6000,"F",55211,"6000-55211-0011",16.578231292517007,14.24,2.3382312925170066,41,0.8,3,0,0,2,0,1,"LibriStutter/LibriStutter Audio/6000/55211/6000-55211-0011.flac","LibriSpeech/6000/55211/6000-55211-0011.flac"
5456,"M",62043,"5456-62043-0015",16.91219954648526,13.94,2.972199546485262,42,0.6,3,0,2,0,1,0,"LibriStutter/LibriStutter Audio/5456/62043/5456-62043-0015.flac","LibriSpeech/5456/62043/5456-62043-0015.flac"
5456,"M",24741,"5456-24741-0023",7.570884353741497,6.825034013605443,0.7458503401360543,18,0.5333333333333333,1,0,1,0,0,0,"LibriStutter/LibriStutter Audio/5456/24741/5456-24741-0023.flac","LibriSpeech/5456/24741/5456-24741-0023.flac"
1926,"F",143879,"1926-143879-0029",3.9950113378684806,3.9950113378684806,0.0,11,0.8,0,0,0,0,0,0,"LibriStutter/LibriStutter Audio/1926/143879/1926-143879-0029.flac","LibriSpeech/1926/143879/1926-143879-0029.flac"
8975,"F",270782,"8975-270782-0016",16.090068027210883,14.33501133786848,1.7550566893424016,43,0.024390243902439,3,0,1,1,0,1,"LibriStutter/LibriStutter Audio/8975/270782/8975-270782-0016.flac","LibriSpeech/8975/270782/8975-270782-0016.flac"
198,"F",209,"198-209-0014",14.46,14.14,0.3200000000000003,32,0.6,2,0,0,0,0,2,"LibriStutter/LibriStutter Audio/198/209/198-209-0014.flac","LibriSpeech/198/209/198-209-0014.flac"
1088,"F",134315,"1088-134315-0003",12.889750566893424,11.77501133786848,1.1147392290249432,30,0.7586206896551724,2,0,1,1,0,0,"LibriStutter/LibriStutter Audio/1088/134315/1088-134315-0003.flac","LibriSpeech/1088/134315/1088-134315-0003.flac"
198,"F",129977,"198-129977-0010",18.503310657596373,15.88503401360544,2.6182766439909315,51,0.84,2,0,0,1,1,0,"LibriStutter/LibriStutter Audio/198/129977/198-129977-0010.flac","LibriSpeech/198/129977/198-129977-0010.flac"
5390,"M",30102,"5390-30102-0001",13.49328798185941,12.57002267573696,0.923265306122449,25,0.8333333333333334,2,0,0,1,0,1,"LibriStutter/LibriStutter Audio/5390/30102/5390-30102-0001.flac","LibriSpeech/5390/30102/5390-30102-0001.flac"
8098,"M",278252,"8098-278252-0025",15.521678004535149,13.630022675736962,1.8916553287981848,35,0.0,2,0,0,1,0,1,"LibriStutter/LibriStutter Audio/8098/278252/8098-278252-0025.flac","LibriSpeech/8098/278252/8098-278252-0025.flac"
4137,"F",11702,"4137-11702-0009",17.41092970521542,13.09002267573696,4.320907029478459,40,0.8378378378378378,3,0,1,0,1,1,"LibriStutter/LibriStutter Audio/4137/11702/4137-11702-0009.flac","LibriSpeech/4137/11702/4137-11702-0009.flac"
831,"M",130739,"831-130739-0021",13.08780045351474,11.58,1.50780045351474,28,0.0,2,0,0,2,0,0,"LibriStutter/LibriStutter Audio/831/130739/831-130739-0021.flac","LibriSpeech/831/130739/831-130739-0021.flac"
289,"F",121665,"289-121665-0022",17.05950113378685,15.54,1.51950113378685,47,0.8913043478260869,2,0,1,1,0,0,"LibriStutter/LibriStutter Audio/289/121665/289-121665-0022.flac","LibriSpeech/289/121665/289-121665-0022.flac"
6925,"M",80680,"6925-80680-0049",17.718185941043085,15.310022675736962,2.408163265306124,43,0.8378378378378378,3,0,2,0,1,0,"LibriStutter/LibriStutter Audio/6925/80680/6925-80680-0049.flac","LibriSpeech/6925/80680/6925-80680-0049.flac"
