"speaker","speaker_gender","chapter","file","audio_length_stutter","audio_length_speech","audio_length_difference","transcription_length","transcription_similarity","stutter_count","interjection_count","repetition_sound_count","repetition_word_count","repetition_phrase_count","prolongation_count","file_path_stutter","file_path_speech"
2092,"F",145706,"2092-145706-0058",15.36358276643991,13.425034013605442,1.938548752834468,31,0.8928571428571429,3,0,0,1,0,2,"LibriStutter/LibriStutter Audio/2092/145706/2092-145706-0058.flac","LibriSpeech/2092/145706/2092-145706-0058.flac"
1088,"F",129236,"1088-129236-0007",12.495011337868482,12.495011337868482,0.0,34,0.9615384615384616,0,0,0,0,0,0,"LibriStutter/LibriStutter Audio/1088/129236/1088-129236-0007.flac","LibriSpeech/1088/129236/1088-129236-0007.flac"
7113,"F",86041,"7113-86041-0001",16.41768707482993,14.93501133786848,1.4826757369614505,43,0.9142857142857144,2,0,2,0,0,0,"LibriStutter/LibriStutter Audio/7113/86041/7113-86041-0001.flac","LibriSpeech/7113/86041/7113-86041-0001.flac"
6437,"M",66173,"6437-66173-0019",18.578684807256234,15.46,3.118684807256233,31,0.7241379310344828,3,0,2,0,1,0,"LibriStutter/LibriStutter Audio/6437/66173/6437-66173-0019.flac","LibriSpeech/6437/66173/6437-66173-0019.flac"
1926,"F",147979,"1926-147979-0015",9.164489795918367,8.36,0.8044897959183679,23,0.7142857142857143,1,0,0,0,1,0,"LibriStutter/LibriStutter Audio/1926/147979/1926-147979-0015.flac","LibriSpeech/1926/147979/1926-147979-0015.flac"
7067,"M",76048,"7067-76048-0010",13.81501133786848,13.81501133786848,0.0,37,0.8666666666666667,0,0,0,0,0,0,"LibriStutter/LibriStutter Audio/7067/76048/7067-76048-0010.flac","LibriSpeech/7067/76048/7067-76048-0010.flac"
412,"M",126975,"412-126975-0014",13.834149659863945,13.1,0.7341496598639452,30,0.9230769230769232,1,0,1,0,0,0,"LibriStutter/LibriStutter Audio/412/126975/412-126975-0014.flac","LibriSpeech/412/126975/412-126975-0014.flac"
625,"M",132112,"625-132112-0054",16.508117913832198,14.785034013605442,1.7230839002267562,35,0.925925925925926,3,0,1,2,0,0,"LibriStutter/LibriStutter Audio/625/132112/625-132112-0054.flac","LibriSpeech/625/132112/625-132112-0054.flac"
1743,"M",142914,"1743-142914-0032",14.49002267573696,13.105034013605442,1.3849886621315193,40,0.8888888888888888,2,0,0,2,0,0,"LibriStutter/LibriStutter Audio/1743/142914/1743-142914-0032.flac","LibriSpeech/1743/142914/1743-142914-0032.flac"
3240,"M",131231,"3240-131231-0070",14.148390022675738,12.03501133786848,2.113378684807257,35,0.7741935483870968,2,0,0,0,1,1,"LibriStutter/LibriStutter Audio/3240/131231/3240-131231-0070.flac","LibriSpeech/3240/131231/3240-131231-0070.flac"
4137,"F",11701,"4137-11701-0025",19.396643990929704,15.57002267573696,3.8266213151927424,36,0.8285714285714286,3,0,0,0,2,1,"LibriStutter/LibriStutter Audio/4137/11701/4137-11701-0025.flac","LibriSpeech/4137/11701/4137-11701-0025.flac"
311,"M",124404,"311-124404-0022",16.2118820861678,15.075011337868482,1.1368707482993194,44,0.9473684210526316,2,0,1,1,0,0,"LibriStutter/LibriStutter Audio/311/124404/311-124404-0022.flac","LibriSpeech/311/124404/311-124404-0022.flac"
