"speaker","speaker_gender","chapter","file","audio_length_stutter","audio_length_speech","audio_length_difference","transcription_length","transcription_similarity","stutter_count","interjection_count","repetition_sound_count","repetition_word_count","repetition_phrase_count","prolongation_count","file_path_stutter","file_path_speech"
198,"F",209,"198-209-0033",7.511156462585034,6.265034013605442,1.246122448979592,20,0.95,1,0,1,0,0,0,"LibriStutter/LibriStutter Audio/198/209/198-209-0033.flac","LibriSpeech/198/209/198-209-0033.flac"
6437,"M",66173,"6437-66173-0055",14.051473922902494,13.06,0.9914739229024933,41,0.9375,3,0,1,0,0,2,"LibriStutter/LibriStutter Audio/6437/66173/6437-66173-0055.flac","LibriSpeech/6437/66173/6437-66173-0055.flac"
2893,"M",139310,"2893-139310-0035",16.897551020408162,14.77501133786848,2.1225396825396814,43,0.9411764705882352,3,0,3,0,0,0,"LibriStutter/LibriStutter Audio/2893/139310/2893-139310-0035.flac","LibriSpeech/2893/139310/2893-139310-0035.flac"
7780,"F",274562,"7780-274562-0074",14.190022675736962,14.190022675736962,0.0,31,0.8,0,0,0,0,0,0,"LibriStutter/LibriStutter Audio/7780/274562/7780-274562-0074.flac","LibriSpeech/7780/274562/7780-274562-0074.flac"
4853,"F",27670,"4853-27670-0012",17.26657596371882,15.41501133786848,1.85156462585034,37,0.9090909090909092,3,0,2,0,0,1,"LibriStutter/LibriStutter Audio/4853/27670/4853-27670-0012.flac","LibriSpeech/4853/27670/4853-27670-0012.flac"
2436,"M",2476,"2436-2476-0014",2.86,2.86,0.0,5,0.8,0,0,0,0,0,0,"LibriStutter/LibriStutter Audio/2436/2476/2436-2476-0014.flac","LibriSpeech/2436/2476/2436-2476-0014.flac"
7780,"F",274562,"7780-274562-0009",21.670113378684807,16.26,5.410113378684805,29,0.9230769230769232,3,0,0,1,1,1,"LibriStutter/LibriStutter Audio/7780/274562/7780-274562-0009.flac","LibriSpeech/7780/274562/7780-274562-0009.flac"
4018,"M",103416,"4018-103416-0005",17.069569160997734,14.690022675736962,2.3795464852607715,41,0.8709677419354839,3,0,2,0,1,0,"LibriStutter/LibriStutter Audio/4018/103416/4018-103416-0005.flac","LibriSpeech/4018/103416/4018-103416-0005.flac"
5561,"F",41615,"5561-41615-0025",15.950022675736962,15.950022675736962,0.0,47,0.8666666666666667,0,0,0,0,0,0,"LibriStutter/LibriStutter Audio/5561/41615/5561-41615-0025.flac","LibriSpeech/5561/41615/5561-41615-0025.flac"
2436,"M",2476,"2436-2476-0027",15.93501133786848,13.845034013605442,2.089977324263039,38,0.8235294117647058,1,0,0,0,1,0,"LibriStutter/LibriStutter Audio/2436/2476/2436-2476-0027.flac","LibriSpeech/2436/2476/2436-2476-0027.flac"
