"ID","file_path_stutter","file_path_speech"
0,"../data/LibriStutter/LibriStutter Audio/198/209/198-209-0033.flac","../data/LibriSpeech/198/209/198-209-0033.flac"
1,"../data/LibriStutter/LibriStutter Audio/6437/66173/6437-66173-0055.flac","../data/LibriSpeech/6437/66173/6437-66173-0055.flac"
2,"../data/LibriStutter/LibriStutter Audio/2893/139310/2893-139310-0035.flac","../data/LibriSpeech/2893/139310/2893-139310-0035.flac"
3,"../data/LibriStutter/LibriStutter Audio/7780/274562/7780-274562-0074.flac","../data/LibriSpeech/7780/274562/7780-274562-0074.flac"
4,"../data/LibriStutter/LibriStutter Audio/4853/27670/4853-27670-0012.flac","../data/LibriSpeech/4853/27670/4853-27670-0012.flac"
5,"../data/LibriStutter/LibriStutter Audio/2436/2476/2436-2476-0014.flac","../data/LibriSpeech/2436/2476/2436-2476-0014.flac"
6,"../data/LibriStutter/LibriStutter Audio/7780/274562/7780-274562-0009.flac","../data/LibriSpeech/7780/274562/7780-274562-0009.flac"
7,"../data/LibriStutter/LibriStutter Audio/4018/103416/4018-103416-0005.flac","../data/LibriSpeech/4018/103416/4018-103416-0005.flac"
8,"../data/LibriStutter/LibriStutter Audio/5561/41615/5561-41615-0025.flac","../data/LibriSpeech/5561/41615/5561-41615-0025.flac"
9,"../data/LibriStutter/LibriStutter Audio/2436/2476/2436-2476-0027.flac","../data/LibriSpeech/2436/2476/2436-2476-0027.flac"
10,"../data/LibriStutter/LibriStutter Audio/311/124404/311-124404-0029.flac","../data/LibriSpeech/311/124404/311-124404-0029.flac"
11,"../data/LibriStutter/LibriStutter Audio/4018/103416/4018-103416-0007.flac","../data/LibriSpeech/4018/103416/4018-103416-0007.flac"
12,"../data/LibriStutter/LibriStutter Audio/7517/100437/7517-100437-0020.flac","../data/LibriSpeech/7517/100437/7517-100437-0020.flac"
13,"../data/LibriStutter/LibriStutter Audio/4137/11701/4137-11701-0030.flac","../data/LibriSpeech/4137/11701/4137-11701-0030.flac"
14,"../data/LibriStutter/LibriStutter Audio/2092/145706/2092-145706-0060.flac","../data/LibriSpeech/2092/145706/2092-145706-0060.flac"
15,"../data/LibriStutter/LibriStutter Audio/1963/147036/1963-147036-0007.flac","../data/LibriSpeech/1963/147036/1963-147036-0007.flac"
16,"../data/LibriStutter/LibriStutter Audio/2289/152258/2289-152258-0007.flac","../data/LibriSpeech/2289/152258/2289-152258-0007.flac"
17,"../data/LibriStutter/LibriStutter Audio/2289/152258/2289-152258-0021.flac","../data/LibriSpeech/2289/152258/2289-152258-0021.flac"
18,"../data/LibriStutter/LibriStutter Audio/2989/138028/2989-138028-0014.flac","../data/LibriSpeech/2989/138028/2989-138028-0014.flac"
19,"../data/LibriStutter/LibriStutter Audio/3699/47246/3699-47246-0016.flac","../data/LibriSpeech/3699/47246/3699-47246-0016.flac"
20,"../data/LibriStutter/LibriStutter Audio/4830/25898/4830-25898-0001.flac","../data/LibriSpeech/4830/25898/4830-25898-0001.flac"
21,"../data/LibriStutter/LibriStutter Audio/2989/138028/2989-138028-0041.flac","../data/LibriSpeech/2989/138028/2989-138028-0041.flac"
22,"../data/LibriStutter/LibriStutter Audio/412/126975/412-126975-0071.flac","../data/LibriSpeech/412/126975/412-126975-0071.flac"
23,"../data/LibriStutter/LibriStutter Audio/6437/66172/6437-66172-0041.flac","../data/LibriSpeech/6437/66172/6437-66172-0041.flac"
24,"../data/LibriStutter/LibriStutter Audio/1963/142776/1963-142776-0008.flac","../data/LibriSpeech/1963/142776/1963-142776-0008.flac"
25,"../data/LibriStutter/LibriStutter Audio/2518/154825/2518-154825-0006.flac","../data/LibriSpeech/2518/154825/2518-154825-0006.flac"
26,"../data/LibriStutter/LibriStutter Audio/1334/135589/1334-135589-0074.flac","../data/LibriSpeech/1334/135589/1334-135589-0074.flac"
27,"../data/LibriStutter/LibriStutter Audio/1963/142393/1963-142393-0023.flac","../data/LibriSpeech/1963/142393/1963-142393-0023.flac"
28,"../data/LibriStutter/LibriStutter Audio/1867/154071/1867-154071-0006.flac","../data/LibriSpeech/1867/154071/1867-154071-0006.flac"
29,"../data/LibriStutter/LibriStutter Audio/7067/76047/7067-76047-0017.flac","../data/LibriSpeech/7067/76047/7067-76047-0017.flac"
30,"../data/LibriStutter/LibriStutter Audio/1926/143879/1926-143879-0029.flac","../data/LibriSpeech/1926/143879/1926-143879-0029.flac"
31,"../data/LibriStutter/LibriStutter Audio/2092/145709/2092-145709-0014.flac","../data/LibriSpeech/2092/145709/2092-145709-0014.flac"
32,"../data/LibriStutter/LibriStutter Audio/4788/94904/4788-94904-0010.flac","../data/LibriSpeech/4788/94904/4788-94904-0010.flac"
33,"../data/LibriStutter/LibriStutter Audio/412/126975/412-126975-0081.flac","../data/LibriSpeech/412/126975/412-126975-0081.flac"
34,"../data/LibriStutter/LibriStutter Audio/1743/142913/1743-142913-0019.flac","../data/LibriSpeech/1743/142913/1743-142913-0019.flac"
35,"../data/LibriStutter/LibriStutter Audio/5393/19219/5393-19219-0034.flac","../data/LibriSpeech/5393/19219/5393-19219-0034.flac"
36,"../data/LibriStutter/LibriStutter Audio/3240/131232/3240-131232-0013.flac","../data/LibriSpeech/3240/131232/3240-131232-0013.flac"
37,"../data/LibriStutter/LibriStutter Audio/7067/76048/7067-76048-0012.flac","../data/LibriSpeech/7067/76048/7067-76048-0012.flac"
38,"../data/LibriStutter/LibriStutter Audio/7780/274562/7780-274562-0092.flac","../data/LibriSpeech/7780/274562/7780-274562-0092.flac"
39,"../data/LibriStutter/LibriStutter Audio/1867/154071/1867-154071-0017.flac","../data/LibriSpeech/1867/154071/1867-154071-0017.flac"
40,"../data/LibriStutter/LibriStutter Audio/3240/131231/3240-131231-0081.flac","../data/LibriSpeech/3240/131231/3240-131231-0081.flac"
41,"../data/LibriStutter/LibriStutter Audio/7113/86041/7113-86041-0051.flac","../data/LibriSpeech/7113/86041/7113-86041-0051.flac"
42,"../data/LibriStutter/LibriStutter Audio/5561/41615/5561-41615-0019.flac","../data/LibriSpeech/5561/41615/5561-41615-0019.flac"
43,"../data/LibriStutter/LibriStutter Audio/1963/142393/1963-142393-0010.flac","../data/LibriSpeech/1963/142393/1963-142393-0010.flac"
44,"../data/LibriStutter/LibriStutter Audio/311/124404/311-124404-0108.flac","../data/LibriSpeech/311/124404/311-124404-0108.flac"
45,"../data/LibriStutter/LibriStutter Audio/2092/145706/2092-145706-0050.flac","../data/LibriSpeech/2092/145706/2092-145706-0050.flac"
46,"../data/LibriStutter/LibriStutter Audio/2092/145706/2092-145706-0010.flac","../data/LibriSpeech/2092/145706/2092-145706-0010.flac"
47,"../data/LibriStutter/LibriStutter Audio/1963/147036/1963-147036-0015.flac","../data/LibriSpeech/1963/147036/1963-147036-0015.flac"
48,"../data/LibriStutter/LibriStutter Audio/5390/30096/5390-30096-0029.flac","../data/LibriSpeech/5390/30096/5390-30096-0029.flac"
49,"../data/LibriStutter/LibriStutter Audio/4018/107312/4018-107312-0007.flac","../data/LibriSpeech/4018/107312/4018-107312-0007.flac"
50,"../data/LibriStutter/LibriStutter Audio/5390/24512/5390-24512-0047.flac","../data/LibriSpeech/5390/24512/5390-24512-0047.flac"
51,"../data/LibriStutter/LibriStutter Audio/2836/5354/2836-5354-0007.flac","../data/LibriSpeech/2836/5354/2836-5354-0007.flac"
52,"../data/LibriStutter/LibriStutter Audio/2989/138028/2989-138028-0059.flac","../data/LibriSpeech/2989/138028/2989-138028-0059.flac"
53,"../data/LibriStutter/LibriStutter Audio/2289/152253/2289-152253-0025.flac","../data/LibriSpeech/2289/152253/2289-152253-0025.flac"
54,"../data/LibriStutter/LibriStutter Audio/4137/11702/4137-11702-0036.flac","../data/LibriSpeech/4137/11702/4137-11702-0036.flac"
55,"../data/LibriStutter/LibriStutter Audio/5393/19218/5393-19218-0028.flac","../data/LibriSpeech/5393/19218/5393-19218-0028.flac"
56,"../data/LibriStutter/LibriStutter Audio/1334/135589/1334-135589-0070.flac","../data/LibriSpeech/1334/135589/1334-135589-0070.flac"
57,"../data/LibriStutter/LibriStutter Audio/289/121665/289-121665-0020.flac","../data/LibriSpeech/289/121665/289-121665-0020.flac"
58,"../data/LibriStutter/LibriStutter Audio/5393/19219/5393-19219-0009.flac","../data/LibriSpeech/5393/19219/5393-19219-0009.flac"
59,"../data/LibriStutter/LibriStutter Audio/2989/138035/2989-138035-0058.flac","../data/LibriSpeech/2989/138035/2989-138035-0058.flac"
60,"../data/LibriStutter/LibriStutter Audio/1867/148436/1867-148436-0026.flac","../data/LibriSpeech/1867/148436/1867-148436-0026.flac"
61,"../data/LibriStutter/LibriStutter Audio/412/126975/412-126975-0027.flac","../data/LibriSpeech/412/126975/412-126975-0027.flac"
62,"../data/LibriStutter/LibriStutter Audio/5456/58161/5456-58161-0009.flac","../data/LibriSpeech/5456/58161/5456-58161-0009.flac"
63,"../data/LibriStutter/LibriStutter Audio/2436/2476/2436-2476-0002.flac","../data/LibriSpeech/2436/2476/2436-2476-0002.flac"
64,"../data/LibriStutter/LibriStutter Audio/625/132118/625-132118-0006.flac","../data/LibriSpeech/625/132118/625-132118-0006.flac"
65,"../data/LibriStutter/LibriStutter Audio/412/126975/412-126975-0009.flac","../data/LibriSpeech/412/126975/412-126975-0009.flac"
66,"../data/LibriStutter/LibriStutter Audio/4788/91208/4788-91208-0028.flac","../data/LibriSpeech/4788/91208/4788-91208-0028.flac"
67,"../data/LibriStutter/LibriStutter Audio/6925/80680/6925-80680-0014.flac","../data/LibriSpeech/6925/80680/6925-80680-0014.flac"
68,"../data/LibriStutter/LibriStutter Audio/445/123860/445-123860-0021.flac","../data/LibriSpeech/445/123860/445-123860-0021.flac"
69,"../data/LibriStutter/LibriStutter Audio/6925/80680/6925-80680-0015.flac","../data/LibriSpeech/6925/80680/6925-80680-0015.flac"
70,"../data/LibriStutter/LibriStutter Audio/4137/11701/4137-11701-0049.flac","../data/LibriSpeech/4137/11701/4137-11701-0049.flac"
